"Id";"ActiveDate";"ActiveHour";"TotalIntensity";"AverageIntensity";"StepTotal"
1503960366;"2016-04-26";"01:00:00";11.0;0.2;178
1503960366;"2016-04-19";"17:00:00";13.0;0.2;732
1503960366;"2016-04-14";"02:00:00";0.0;0.0;0
1503960366;"2016-05-01";"14:00:00";25.0;0.4;540
1503960366;"2016-04-19";"18:00:00";30.0;0.5;1280
1503960366;"2016-04-14";"03:00:00";0.0;0.0;0
1503960366;"2016-04-19";"19:00:00";31.0;0.5;397
1503960366;"2016-04-14";"04:00:00";0.0;0.0;0
1503960366;"2016-04-26";"02:00:00";0.0;0.0;0
1503960366;"2016-04-19";"20:00:00";69.0;1.2;2487
1503960366;"2016-04-14";"05:00:00";0.0;0.0;0
1503960366;"2016-04-26";"03:00:00";11.0;0.2;145
1503960366;"2016-04-19";"21:00:00";16.0;0.3;826
1503960366;"2016-04-19";"22:00:00";4.0;0.1;52
1503960366;"2016-04-19";"23:00:00";48.0;0.8;1369
1503960366;"2016-04-14";"06:00:00";0.0;0.0;0
1503960366;"2016-04-14";"07:00:00";0.0;0.0;0
1503960366;"2016-04-26";"04:00:00";0.0;0.0;0
1503960366;"2016-04-20";"00:00:00";2.0;0.0;16
1503960366;"2016-04-14";"08:00:00";0.0;0.0;0
1503960366;"2016-04-26";"05:00:00";1.0;0.0;7
1503960366;"2016-04-14";"09:00:00";14.0;0.2;902
1503960366;"2016-04-26";"06:00:00";0.0;0.0;0
1503960366;"2016-04-14";"10:00:00";23.0;0.4;1106
1503960366;"2016-04-26";"07:00:00";3.0;0.1;28
1503960366;"2016-04-20";"01:00:00";2.0;0.0;36
1503960366;"2016-04-14";"11:00:00";7.0;0.1;50
1503960366;"2016-04-26";"08:00:00";13.0;0.2;173
1503960366;"2016-04-20";"02:00:00";0.0;0.0;0
1503960366;"2016-04-14";"12:00:00";18.0;0.3;501
1503960366;"2016-04-20";"03:00:00";0.0;0.0;0
1503960366;"2016-04-26";"09:00:00";31.0;0.5;1826
1503960366;"2016-04-14";"13:00:00";54.0;0.9;1779
1503960366;"2016-04-20";"04:00:00";0.0;0.0;0
1503960366;"2016-04-26";"10:00:00";22.0;0.4;666
1503960366;"2016-04-20";"05:00:00";0.0;0.0;0
1503960366;"2016-04-26";"11:00:00";17.0;0.3;266
1503960366;"2016-04-20";"06:00:00";0.0;0.0;0
1503960366;"2016-04-26";"12:00:00";10.0;0.2;415
1503960366;"2016-04-14";"14:00:00";22.0;0.4;1228
1503960366;"2016-04-20";"07:00:00";3.0;0.1;29
1503960366;"2016-04-20";"08:00:00";14.0;0.2;264
1503960366;"2016-05-01";"15:00:00";21.0;0.4;294
1503960366;"2016-04-26";"13:00:00";42.0;0.7;1571
1503960366;"2016-04-14";"15:00:00";7.0;0.1;139
1503960366;"2016-04-20";"09:00:00";50.0;0.8;1993
1503960366;"2016-05-01";"16:00:00";23.0;0.4;823
1503960366;"2016-04-20";"10:00:00";13.0;0.2;459
1503960366;"2016-04-20";"11:00:00";1.0;0.0;65
1503960366;"2016-04-26";"14:00:00";60.0;1.0;1998
1503960366;"2016-04-20";"12:00:00";8.0;0.1;185
1503960366;"2016-05-01";"17:00:00";33.0;0.6;1053
1503960366;"2016-04-26";"15:00:00";9.0;0.2;323
1503960366;"2016-04-20";"13:00:00";5.0;0.1;64
1503960366;"2016-04-14";"16:00:00";25.0;0.4;408
1503960366;"2016-04-26";"16:00:00";22.0;0.4;697
1503960366;"2016-05-01";"18:00:00";70.0;1.2;2007
1503960366;"2016-04-14";"17:00:00";5.0;0.1;37
1503960366;"2016-04-26";"17:00:00";5.0;0.1;143
1503960366;"2016-04-14";"18:00:00";12.0;0.2;322
1503960366;"2016-05-01";"19:00:00";14.0;0.2;177
1503960366;"2016-04-26";"18:00:00";72.0;1.2;2513
1503960366;"2016-04-20";"14:00:00";39.0;0.7;1270
1503960366;"2016-04-14";"19:00:00";1.0;0.0;11
1503960366;"2016-04-20";"15:00:00";21.0;0.4;797
1503960366;"2016-04-26";"19:00:00";15.0;0.3;148
1503960366;"2016-04-14";"20:00:00";24.0;0.4;806
1503960366;"2016-04-20";"16:00:00";11.0;0.2;261
1503960366;"2016-04-26";"20:00:00";26.0;0.4;1649
1503960366;"2016-04-14";"21:00:00";57.0;1.0;2670
1503960366;"2016-04-20";"17:00:00";2.0;0.0;13
1503960366;"2016-04-26";"21:00:00";14.0;0.2;450
1503960366;"2016-04-14";"22:00:00";17.0;0.3;362
1503960366;"2016-05-01";"20:00:00";6.0;0.1;93
1503960366;"2016-04-14";"23:00:00";0.0;0.0;0
1503960366;"2016-04-20";"18:00:00";32.0;0.5;1308
1503960366;"2016-04-26";"22:00:00";9.0;0.2;148
1503960366;"2016-04-20";"19:00:00";36.0;0.6;1558
1503960366;"2016-04-15";"00:00:00";6.0;0.1;83
1503960366;"2016-04-20";"20:00:00";12.0;0.2;499
1503960366;"2016-04-20";"21:00:00";22.0;0.4;395
1503960366;"2016-04-15";"01:00:00";5.0;0.1;75
1503960366;"2016-05-01";"21:00:00";25.0;0.4;363
1503960366;"2016-05-01";"22:00:00";50.0;0.8;1552
1503960366;"2016-05-01";"23:00:00";76.0;1.3;2557
1503960366;"2016-05-02";"00:00:00";0.0;0.0;0
1503960366;"2016-05-02";"01:00:00";7.0;0.1;119
1503960366;"2016-05-02";"02:00:00";0.0;0.0;0
1503960366;"2016-04-26";"23:00:00";21.0;0.4;310
1503960366;"2016-05-02";"03:00:00";1.0;0.0;21
1503960366;"2016-04-27";"00:00:00";10.0;0.2;277
1503960366;"2016-04-27";"01:00:00";5.0;0.1;60
1503960366;"2016-05-02";"04:00:00";0.0;0.0;0
1503960366;"2016-04-27";"02:00:00";2.0;0.0;17
1503960366;"2016-05-02";"05:00:00";0.0;0.0;0
1503960366;"2016-04-27";"03:00:00";0.0;0.0;0
1503960366;"2016-04-27";"04:00:00";0.0;0.0;0
1503960366;"2016-05-02";"06:00:00";0.0;0.0;0
1503960366;"2016-04-27";"05:00:00";0.0;0.0;0
1503960366;"2016-04-20";"22:00:00";7.0;0.1;77
1503960366;"2016-04-27";"06:00:00";0.0;0.0;0
1503960366;"2016-04-20";"23:00:00";33.0;0.6;1255
1503960366;"2016-04-21";"00:00:00";2.0;0.0;17
1503960366;"2016-04-21";"01:00:00";8.0;0.1;129
1503960366;"2016-04-27";"07:00:00";0.0;0.0;0
1503960366;"2016-04-27";"08:00:00";0.0;0.0;0
1503960366;"2016-04-27";"09:00:00";33.0;0.6;1916
1503960366;"2016-04-21";"02:00:00";5.0;0.1;81
1503960366;"2016-04-27";"10:00:00";27.0;0.5;502
1503960366;"2016-04-27";"11:00:00";23.0;0.4;797
1503960366;"2016-04-21";"03:00:00";0.0;0.0;0
1503960366;"2016-04-27";"12:00:00";12.0;0.2;701
1503960366;"2016-04-21";"04:00:00";0.0;0.0;0
1503960366;"2016-04-27";"13:00:00";13.0;0.2;319
1503960366;"2016-04-21";"05:00:00";0.0;0.0;0
1503960366;"2016-04-27";"14:00:00";35.0;0.6;1932
1503960366;"2016-04-21";"06:00:00";0.0;0.0;0
1503960366;"2016-04-21";"07:00:00";3.0;0.1;38
1503960366;"2016-04-21";"08:00:00";15.0;0.3;245
1503960366;"2016-04-21";"09:00:00";26.0;0.4;1672
1503960366;"2016-04-27";"15:00:00";6.0;0.1;59
1503960366;"2016-04-15";"02:00:00";7.0;0.1;124
1503960366;"2016-04-21";"10:00:00";16.0;0.3;255
1503960366;"2016-04-21";"11:00:00";0.0;0.0;0
1503960366;"2016-04-27";"16:00:00";7.0;0.1;98
1503960366;"2016-04-15";"03:00:00";0.0;0.0;0
1503960366;"2016-04-27";"17:00:00";13.0;0.2;261
1503960366;"2016-04-21";"12:00:00";11.0;0.2;384
1503960366;"2016-04-15";"04:00:00";0.0;0.0;0
1503960366;"2016-04-27";"18:00:00";73.0;1.2;2714
1503960366;"2016-04-21";"13:00:00";25.0;0.4;1140
1503960366;"2016-04-15";"05:00:00";1.0;0.0;26
1503960366;"2016-04-21";"14:00:00";2.0;0.0;12
1503960366;"2016-04-27";"19:00:00";150.0;2.5;5786
1503960366;"2016-04-15";"06:00:00";0.0;0.0;0
1503960366;"2016-04-27";"20:00:00";70.0;1.2;2420
1503960366;"2016-04-15";"07:00:00";1.0;0.0;7
1503960366;"2016-04-27";"21:00:00";20.0;0.3;266
1503960366;"2016-04-21";"15:00:00";8.0;0.1;213
1503960366;"2016-04-15";"08:00:00";5.0;0.1;55
1503960366;"2016-04-27";"22:00:00";0.0;0.0;0
1503960366;"2016-04-21";"16:00:00";4.0;0.1;26
1503960366;"2016-04-27";"23:00:00";0.0;0.0;0
1503960366;"2016-04-21";"17:00:00";5.0;0.1;96
1503960366;"2016-04-28";"00:00:00";0.0;0.0;0
1503960366;"2016-04-21";"18:00:00";9.0;0.2;213
1503960366;"2016-04-15";"09:00:00";2.0;0.0;21
1503960366;"2016-04-21";"19:00:00";8.0;0.1;100
1503960366;"2016-04-15";"10:00:00";8.0;0.1;154
1503960366;"2016-04-21";"20:00:00";92.0;1.5;3541
1503960366;"2016-04-15";"11:00:00";23.0;0.4;425
1503960366;"2016-04-15";"12:00:00";13.0;0.2;270
1503960366;"2016-04-28";"01:00:00";10.0;0.2;127
1503960366;"2016-04-15";"13:00:00";9.0;0.2;373
1503960366;"2016-04-28";"02:00:00";0.0;0.0;0
1503960366;"2016-04-21";"21:00:00";21.0;0.4;970
1503960366;"2016-04-15";"14:00:00";0.0;0.0;0
1503960366;"2016-04-28";"03:00:00";0.0;0.0;0
1503960366;"2016-04-21";"22:00:00";9.0;0.2;89
1503960366;"2016-04-21";"23:00:00";15.0;0.3;598
1503960366;"2016-04-22";"00:00:00";0.0;0.0;0
1503960366;"2016-04-15";"15:00:00";0.0;0.0;0
1503960366;"2016-04-22";"01:00:00";0.0;0.0;0
1503960366;"2016-04-15";"16:00:00";0.0;0.0;0
1503960366;"2016-04-22";"02:00:00";0.0;0.0;0
1503960366;"2016-04-15";"17:00:00";47.0;0.8;1774
1503960366;"2016-05-02";"07:00:00";3.0;0.1;28
1503960366;"2016-04-15";"18:00:00";22.0;0.4;509
1503960366;"2016-04-22";"03:00:00";0.0;0.0;0
1503960366;"2016-05-02";"08:00:00";12.0;0.2;245
1503960366;"2016-04-15";"19:00:00";32.0;0.5;519
1503960366;"2016-04-22";"04:00:00";0.0;0.0;0
1503960366;"2016-04-15";"20:00:00";8.0;0.1;77
1503960366;"2016-05-02";"09:00:00";30.0;0.5;1690
1503960366;"2016-04-22";"05:00:00";0.0;0.0;0
1503960366;"2016-04-15";"21:00:00";14.0;0.2;280
1503960366;"2016-04-15";"22:00:00";66.0;1.1;2145
1503960366;"2016-05-02";"10:00:00";19.0;0.3;369
1503960366;"2016-04-15";"23:00:00";95.0;1.6;2768
1503960366;"2016-05-02";"11:00:00";16.0;0.3;384
1503960366;"2016-04-16";"00:00:00";15.0;0.3;459
1503960366;"2016-04-16";"01:00:00";0.0;0.0;0
1503960366;"2016-05-02";"12:00:00";64.0;1.1;2116
1503960366;"2016-04-16";"02:00:00";3.0;0.1;63
1503960366;"2016-05-02";"13:00:00";21.0;0.4;1064
1503960366;"2016-04-16";"03:00:00";1.0;0.0;6
1503960366;"2016-04-16";"04:00:00";1.0;0.0;6
1503960366;"2016-05-02";"14:00:00";13.0;0.2;355
1503960366;"2016-04-16";"05:00:00";1.0;0.0;12
1503960366;"2016-04-16";"06:00:00";0.0;0.0;0
1503960366;"2016-05-02";"15:00:00";11.0;0.2;418
1503960366;"2016-04-16";"07:00:00";4.0;0.1;101
1503960366;"2016-04-16";"08:00:00";9.0;0.2;175
1503960366;"2016-04-16";"09:00:00";38.0;0.6;1181
1503960366;"2016-04-16";"10:00:00";14.0;0.2;1295
1503960366;"2016-05-02";"16:00:00";24.0;0.4;420
1503960366;"2016-04-16";"11:00:00";30.0;0.5;2043
1503960366;"2016-04-22";"06:00:00";0.0;0.0;0
1503960366;"2016-04-22";"07:00:00";0.0;0.0;0
1503960366;"2016-04-22";"08:00:00";0.0;0.0;0
1503960366;"2016-04-16";"12:00:00";42.0;0.7;1513
1503960366;"2016-04-22";"09:00:00";13.0;0.2;192
1503960366;"2016-04-28";"04:00:00";0.0;0.0;0
1503960366;"2016-04-22";"10:00:00";2.0;0.0;29
1503960366;"2016-04-28";"05:00:00";0.0;0.0;0
1503960366;"2016-04-22";"11:00:00";34.0;0.6;958
1503960366;"2016-04-28";"06:00:00";0.0;0.0;0
1503960366;"2016-04-22";"12:00:00";2.0;0.0;38
1503960366;"2016-04-28";"07:00:00";1.0;0.0;14
1503960366;"2016-04-22";"13:00:00";4.0;0.1;118
1503960366;"2016-04-28";"08:00:00";11.0;0.2;128
1503960366;"2016-04-22";"14:00:00";0.0;0.0;0
1503960366;"2016-04-28";"09:00:00";38.0;0.6;1192
1503960366;"2016-04-16";"13:00:00";90.0;1.5;3616
